Inorganic phosphor,Host,1st dopant,1st dopant valency,1st doping concentration,Temp. (K),Emission max. (nm),Excitation source ,Reference,MP-ID,ICSD-ID,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,electronegativity_diff_ratio,radius_mismatch,electron_density,mass_to_charge,ionic_radius_emission_center,EN_ligand_avg,ionic_radius_substituted,avg_ionic_radius_host,avg_EN_host,avg_atomic_number_host,avg_group_host,avg_s_electrons,avg_p_electrons,avg_d_electrons,avg_f_electrons
Ba2CaZn2Si6O17Eu0.11,Ba2CaZn2Si6O17,Eu,3,0.11,298,613,395,https://doi.org/10.1016/j.jlumin.2015.03.007,,,0.607142857,0.035714286,0.571428571,128,56,8,48,286.8989,137.327,15.9994,121.3276,7,2.15,0.6,1.55,8.88,3.44,0.89,2.55,20,10,2,8,42.48875207,13.618055,5.2116646,8.4063904,0.287162162,0.221428571,2.857142853,2.241397656,1.087,3.44,1.14,1.090714286,2.712857143,14.71428571,13.78571429,5.428571429,7.142857143,2.142857143,0
Y2O2SEu0.05,Y2O2S,Eu,3,0.05,298,611,317,https://doi.org/10.1364/OE.19.006303,mp-12894, icsd-154582,0.4,0.2,0.2,63,39,8,31,136.97025,88.90585,15.9994,72.90645,3.4,1.8,0.6,1.2,7.24,3.44,1.22,2.22,9,4,1,3,30.195325,13.618055,6.21726,7.400795,0.306629834,0.352941175,2.647058816,2.174130952,1.087,3.01,1.04,1.096,2.38,22,10.8,6.8,10.8,4.4,0
Ca2YZr2Al3O12Eu0.08,Ca2YZr2Al3O12,Eu,3,0.08,298,611,395,https://doi.org/10.1021/acs.inorgchem.6b01711,,,0.6,0.05,0.55,120,40,8,32,263.1887886,91.224,15.9994,75.2246,7,1.8,0.6,1.2,8.6,3.44,1,2.44,10,4,1,3,38.56836547,13.618055,5.985769,7.632286,0.28372093,0.171428571,1.428571427,2.193239905,1.087,3.44,1.04,1.10925,2.5995,14.7,12.3,5.6,7.35,1.75,0
BaGd2O4Bi0.08,BaGd2O4,Bi,3,0.08,298,432,337,https://doi.org/10.1016/j.jlumin.2018.10.050,mp-17143, icsd-78484 icsd-427487,0.571428571,0.142857143,0.428571429,128,64,8,56,310.5764,157.25,15.9994,141.2506,4.55,2.15,0.6,1.55,5.53,3.44,0.89,2.55,7,4,1,3,24.9795196,13.618055,5.2116646,8.4063904,0.461121156,0.34065934,1.538461535,2.426378125,1.17,3.44,1.075,1.24,2.435714286,30.85714286,10.28571429,7.428571429,12.57142857,8.857142857,2
BaGd2O4Eu0.2,BaGd2O4,Eu,3,0.2,298,611,394,https://doi.org/10.1016/j.jlumin.2018.10.050,mp-17143, icsd-78484 icsd-427487,0.571428571,0.142857143,0.428571429,128,64,8,56,310.5764,157.25,15.9994,141.2506,4.55,2.15,0.6,1.55,5.53,3.44,0.89,2.55,7,4,1,3,24.9795196,13.618055,5.2116646,8.4063904,0.461121156,0.34065934,1.538461535,2.426378125,1.087,3.44,1.075,1.24,2.435714286,30.85714286,10.28571429,7.428571429,12.57142857,8.857142857,2
Ca2Y0.992Zr2Al3O12Bi0.008,Ca2Y0.992Zr2Al3O12,Bi,3,0.008,298,313,278,https://doi.org/10.1016/j.ceramint.2019.11.081,,,0.600240096,0.049619848,0.550620248,120,40,8,32,263.1887886,91.224,15.9994,75.2246,7,1.8,0.6,1.2,8.6,3.44,1,2.44,10,4,1,3,38.56836547,13.618055,5.985769,7.632286,0.28372093,0.171428571,1.428571427,2.193239905,1.17,3.44,1.14,1.109277711,2.600052021,14.69027611,12.30372149,5.598239296,7.345738295,1.746298519,0
Sc2W3O12Eu0.01,Sc2W3O12,Eu,3,0.01,298,617,264,https://doi.org/10.1016/j.ceramint.2019.02.107,"mp-5516,mp-1219450", icsd-50941 icsd-50940 icsd-391468 icsd-28467 icsd-50942,0.705882353,0.117647059,0.588235294,103,74,8,66,244.795312,183.84,15.9994,167.8406,3.55,1.6,0.6,1,7.16,3.44,1.36,2.08,9,4,1,3,28.043575,13.618055,6.56149,7.056565,0.290502793,0.28169014,2.53521126,2.376653514,1.087,3.44,0.885,1.128823529,3.004705882,21.17647059,12.70588235,5.882352941,8.470588235,4.352941176,2.470588235
Sc2W3O12Eu0.03,Sc2W3O12,Eu,3,0.03,298,617,264,https://doi.org/10.1016/j.ceramint.2019.02.107,"mp-5516,mp-1219450", icsd-50941 icsd-50940 icsd-391468 icsd-28467 icsd-50942,0.705882353,0.117647059,0.588235294,103,74,8,66,244.795312,183.84,15.9994,167.8406,3.55,1.6,0.6,1,7.16,3.44,1.36,2.08,9,4,1,3,28.043575,13.618055,6.56149,7.056565,0.290502793,0.28169014,2.53521126,2.376653514,1.087,3.44,0.885,1.128823529,3.004705882,21.17647059,12.70588235,5.882352941,8.470588235,4.352941176,2.470588235
Sc2W3O12Eu0.05,Sc2W3O12,Eu,3,0.05,298,617,264,https://doi.org/10.1016/j.ceramint.2019.02.107,"mp-5516,mp-1219450", icsd-50941 icsd-50940 icsd-391468 icsd-28467 icsd-50942,0.705882353,0.117647059,0.588235294,103,74,8,66,244.795312,183.84,15.9994,167.8406,3.55,1.6,0.6,1,7.16,3.44,1.36,2.08,9,4,1,3,28.043575,13.618055,6.56149,7.056565,0.290502793,0.28169014,2.53521126,2.376653514,1.087,3.44,0.885,1.128823529,3.004705882,21.17647059,12.70588235,5.882352941,8.470588235,4.352941176,2.470588235
Sc2W3O12Eu0.15,Sc2W3O12,Eu,3,0.15,298,617,264,https://doi.org/10.1016/j.ceramint.2019.02.107,"mp-5516,mp-1219450", icsd-50941 icsd-50940 icsd-391468 icsd-28467 icsd-50942,0.705882353,0.117647059,0.588235294,103,74,8,66,244.795312,183.84,15.9994,167.8406,3.55,1.6,0.6,1,7.16,3.44,1.36,2.08,9,4,1,3,28.043575,13.618055,6.56149,7.056565,0.290502793,0.28169014,2.53521126,2.376653514,1.087,3.44,0.885,1.128823529,3.004705882,21.17647059,12.70588235,5.882352941,8.470588235,4.352941176,2.470588235
Sc2W3O12Eu0.3,Sc2W3O12,Eu,3,0.3,298,617,264,https://doi.org/10.1016/j.ceramint.2019.02.107,"mp-5516,mp-1219450", icsd-50941 icsd-50940 icsd-391468 icsd-28467 icsd-50942,0.705882353,0.117647059,0.588235294,103,74,8,66,244.795312,183.84,15.9994,167.8406,3.55,1.6,0.6,1,7.16,3.44,1.36,2.08,9,4,1,3,28.043575,13.618055,6.56149,7.056565,0.290502793,0.28169014,2.53521126,2.376653514,1.087,3.44,0.885,1.128823529,3.004705882,21.17647059,12.70588235,5.882352941,8.470588235,4.352941176,2.470588235
CdY3.6MoO16Eu0.1,CdY3.6MoO16,Eu,3,0.1,298,615,395,https://doi.org/10.1364/OME.6.002397,,,0.740740741,0.046296296,0.694444444,137,48,8,40,313.25625,112.411,15.9994,96.4116,5.4,1.8,0.6,1.2,8.51,3.44,1.22,2.22,20,10,1,9,35.921565,13.618055,6.21726,7.400795,0.260869565,0.222222222,3.703703697,2.286541971,1.087,3.44,1.09,1.193009259,2.929722222,16.59259259,13.18518519,5.509259259,7.62962963,3.453703704,0
CdY3.2MoO16Eu0.2,CdY3.2MoO16,Eu,3,0.2,298,615,395,https://doi.org/10.1364/OME.6.002397,,,0.754716981,0.047169811,0.70754717,137,48,8,40,313.25625,112.411,15.9994,96.4116,5.4,1.8,0.6,1.2,8.51,3.44,1.22,2.22,20,10,1,9,35.921565,13.618055,6.21726,7.400795,0.260869565,0.222222222,3.703703697,2.286541971,1.087,3.44,1.09,1.195896226,2.961981132,16.16981132,13.37735849,5.424528302,7.433962264,3.311320755,0
CdY2.8MoO16Eu0.3,CdY2.8MoO16,Eu,3,0.3,298,615,395,https://doi.org/10.1364/OME.6.002397,,,0.769230769,0.048076923,0.721153846,137,48,8,40,313.25625,112.411,15.9994,96.4116,5.4,1.8,0.6,1.2,8.51,3.44,1.22,2.22,20,10,1,9,35.921565,13.618055,6.21726,7.400795,0.260869565,0.222222222,3.703703697,2.286541971,1.087,3.44,1.09,1.198894231,2.995480769,15.73076923,13.57692308,5.336538462,7.230769231,3.163461538,0
CdY2.4MoO16Eu0.4,CdY2.4MoO16,Eu,3,0.4,298,615,395,https://doi.org/10.1364/OME.6.002397,,,0.784313725,0.049019608,0.735294118,137,48,8,40,313.25625,112.411,15.9994,96.4116,5.4,1.8,0.6,1.2,8.51,3.44,1.22,2.22,20,10,1,9,35.921565,13.618055,6.21726,7.400795,0.260869565,0.222222222,3.703703697,2.286541971,1.087,3.44,1.09,1.202009804,3.030294118,15.2745098,13.78431373,5.245098039,7.019607843,3.009803922,0
CdY2MoO16Eu0.5,CdY2MoO16,Eu,3,0.5,298,615,395,https://doi.org/10.1364/OME.6.002397,,,0.8,0.05,0.75,137,48,8,40,313.25625,112.411,15.9994,96.4116,5.4,1.8,0.6,1.2,8.51,3.44,1.22,2.22,20,10,1,9,35.921565,13.618055,6.21726,7.400795,0.260869565,0.222222222,3.703703697,2.286541971,1.087,3.44,1.09,1.20525,3.0665,14.8,14,5.15,6.8,2.85,0
CdY1.6MoO16Eu0.6,CdY1.6MoO16,Eu,3,0.6,298,615,395,https://doi.org/10.1364/OME.6.002397,,,0.816326531,0.051020408,0.765306122,137,48,8,40,313.25625,112.411,15.9994,96.4116,5.4,1.8,0.6,1.2,8.51,3.44,1.22,2.22,20,10,1,9,35.921565,13.618055,6.21726,7.400795,0.260869565,0.222222222,3.703703697,2.286541971,1.087,3.44,1.09,1.208622449,3.104183673,14.30612245,14.2244898,5.051020408,6.571428571,2.683673469,0
Ca3Y0.5Al3B4O15Eu0.5,Ca3Y0.5Al3B4O15,Eu,3,0.5,298,620,254,https://doi.org/10.1364/OE.19.0000A1,mp-694012,,0.588235294,0.019607843,0.568627451,85,39,5,34,182.7757886,88.90585,10.811,78.09485,6.3,1.8,0.6,1.2,9.31,3.44,1,2.44,9,4,1,3,40.23225847,13.618055,5.985769,7.632286,0.262083781,0.19047619,1.428571426,2.150303395,1.087,3.44,1.04,1.039411765,2.674509804,10.1372549,13.2745098,4.823529412,5.098039216,0.215686275,0
YVO4Eu0.05,YVO4,Eu,3,0.05,298,619,291,https://doi.org/10.1021/ic100953m,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.666666667,0.166666667,0.5,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.087,3.44,1.04,1.142916667,2.768333333,15.66666667,12,5.666666667,7.666666667,2.333333333,0
YVO4Dy0.05,YVO4,Dy,3,0.05,298,575,283,https://doi.org/10.1021/ic100953m,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.666666667,0.166666667,0.5,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.052,3.44,1.04,1.142916667,2.768333333,15.66666667,12,5.666666667,7.666666667,2.333333333,0
YVO4Sm0.05,YVO4,Sm,3,0.05,298,604,303,https://doi.org/10.1021/ic100953m,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.666666667,0.166666667,0.5,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.098,3.44,1.04,1.142916667,2.768333333,15.66666667,12,5.666666667,7.666666667,2.333333333,0
YVO4Er0.05,YVO4,Er,3,0.05,298,554,317,https://doi.org/10.1021/ic100953m,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.666666667,0.166666667,0.5,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.03,3.44,1.04,1.142916667,2.768333333,15.66666667,12,5.666666667,7.666666667,2.333333333,0
Y0.99VO4Eu0.01,Y0.99VO4,Eu,3,0.01,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.667779633,0.165275459,0.502504174,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.087,3.44,1.04,1.143088481,2.770918197,15.62771285,12.01502504,5.659432387,7.649415693,2.318864775,0
Y0.97VO4Eu0.03,Y0.97VO4,Eu,3,0.03,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.67001675,0.162479062,0.507537688,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.087,3.44,1.04,1.143433836,2.776113903,15.54941374,12.04522613,5.644891122,7.614740369,2.289782245,0
Y0.95VO4Eu0.05,Y0.95VO4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.672268908,0.159663866,0.512605042,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.087,3.44,1.04,1.143781513,2.781344538,15.47058824,12.07563025,5.630252101,7.579831933,2.260504202,0
Y0.93VO4Eu0.07,Y0.93VO4,Eu,3,0.07,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.674536256,0.15682968,0.517706577,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.087,3.44,1.04,1.144131535,2.786610455,15.39123103,12.10623946,5.615514334,7.544688027,2.231028668,0
Y0.91VO4Eu0.09,Y0.91VO4,Eu,3,0.09,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.676818951,0.153976311,0.52284264,70,39,8,31,155.84675,88.90585,15.9994,72.90645,3.75,1.8,0.6,1.2,6.29,3.44,1.22,2.22,8,4,1,3,26.581502,13.618055,6.21726,7.400795,0.352941176,0.319999999,2.133333328,2.226382143,1.087,3.44,1.04,1.144483926,2.791912014,15.31133672,12.13705584,5.600676819,7.509306261,2.201353638,0
Y0.95V0.8P0.2O4Eu0.05,Y0.95V0.8P0.2O4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.672268908,0.033613445,0.638655462,85,39,8,31,186.820512,88.90585,15.9994,72.90645,4.75,1.8,0.6,1.2,8.48,3.44,1.22,2.22,11,4,1,3,37.068188,13.618055,6.21726,7.400795,0.261792453,0.252631578,2.315789469,2.197888376,1.087,2.815,1.04,1.136134454,2.800168067,15.20168067,12.41176471,5.56302521,7.478991597,2.159663866,0
Y0.95V0.6P0.4O4Eu0.05,Y0.95V0.6P0.4O4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.672268908,0.067226891,0.605042017,85,39,8,31,186.820512,88.90585,15.9994,72.90645,4.75,1.8,0.6,1.2,8.48,3.44,1.22,2.22,11,4,1,3,37.068188,13.618055,6.21726,7.400795,0.261792453,0.252631578,2.315789469,2.197888376,1.087,2.815,1.04,1.128487395,2.818991597,14.93277311,12.74789916,5.495798319,7.378151261,2.058823529,0
Y0.95V0.4P0.6O4Eu0.05,Y0.95V0.4P0.6O4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.672268908,0.067226891,0.605042017,85,39,8,31,186.820512,88.90585,15.9994,72.90645,4.75,1.8,0.6,1.2,8.48,3.44,1.22,2.22,11,4,1,3,37.068188,13.618055,6.21726,7.400795,0.261792453,0.252631578,2.315789469,2.197888376,1.087,2.815,1.04,1.120840336,2.837815126,14.66386555,13.08403361,5.428571429,7.277310924,1.957983193,0
Y0.95PO4Eu0.05,Y0.95PO4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,"mp-5132,mp-1232370", icsd-201131 icsd-56113 icsd-184543 icsd-24514 icsd-28554 icsd-79754,0.672268908,0.159663866,0.512605042,62,39,8,31,135.879012,88.90585,15.9994,72.90645,3.4,1.8,0.6,1.2,6.85,3.44,1.22,2.22,8,4,1,3,30.322001,13.618055,6.21726,7.400795,0.324087591,0.352941175,2.35294117,2.191596967,1.087,2.815,1.04,1.105546218,2.875462185,14.12605042,13.75630252,5.294117647,7.075630252,1.756302521,0
Y0.75Gd0.2V0.6P0.4O4Eu0.05,Y0.75Gd0.2V0.6P0.4O4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.672268908,0.033613445,0.638655462,149,64,8,56,344.070512,157.25,15.9994,141.2506,6.55,1.8,0.6,1.2,9.68,3.44,1.2,2.24,12,4,1,3,43.217988,13.618055,6.1498,7.468255,0.231404958,0.183206107,1.832061066,2.309198067,1.087,2.815,1.075,1.129663866,2.818319328,15.77310924,12.74789916,5.56302521,7.579831933,2.394957983,0.235294118
Y0.55Gd0.4V0.6P0.4O4Eu0.05,Y0.55Gd0.4V0.6P0.4O4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.672268908,0.067226891,0.605042017,149,64,8,56,344.070512,157.25,15.9994,141.2506,6.55,1.8,0.6,1.2,9.68,3.44,1.2,2.24,12,4,1,3,43.217988,13.618055,6.1498,7.468255,0.231404958,0.183206107,1.832061066,2.309198067,1.087,2.815,1.075,1.130840336,2.817647059,16.61344538,12.74789916,5.630252101,7.781512605,2.731092437,0.470588235
Y0.35Gd0.6V0.6P0.4O4Eu0.05,Y0.35Gd0.6V0.6P0.4O4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.672268908,0.058823529,0.613445378,149,64,8,56,344.070512,157.25,15.9994,141.2506,6.55,1.8,0.6,1.2,9.68,3.44,1.2,2.24,12,4,1,3,43.217988,13.618055,6.1498,7.468255,0.231404958,0.183206107,1.832061066,2.309198067,1.087,2.815,1.075,1.132016807,2.81697479,17.45378151,12.74789916,5.697478992,7.983193277,3.067226891,0.705882353
Y0.15Gd0.8V0.6P0.4O4Eu0.05,Y0.15Gd0.8V0.6P0.4O4,Eu,3,0.05,298,619,172,https://doi.org/10.1021/cm061042a,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,0.672268908,0.025210084,0.647058824,149,64,8,56,344.070512,157.25,15.9994,141.2506,6.55,1.8,0.6,1.2,9.68,3.44,1.2,2.24,12,4,1,3,43.217988,13.618055,6.1498,7.468255,0.231404958,0.183206107,1.832061066,2.309198067,1.087,2.815,1.075,1.133193277,2.816302521,18.29411765,12.74789916,5.764705882,8.18487395,3.403361345,0.941176471
